code,name,description,refreshed_at,from_date,to_date
1COV_X,Covestro AG (1COV_X),Stock Prices for Covestro AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006062144,2020-01-31 22:18:52,2015-10-06,2020-01-31
2HR_X,H&R (2HR_X),"Stock Prices for H&r Ag from the Frankfurt Stock Exchange. Trading System: Xetra. As a specialty chemicals player, H&R is active in the development and production of crude oil based chemical-pharmaceutical products and the manufacture of precision plastics parts. In their individual business areas the Group companies in Germany and Europe hold promising positions as market and/or technology leaders. The Group employs a workforce of more than 1,400 members of staff. For further information please visit the website www.hur.com.",2017-02-28 22:30:42,2000-01-03,2017-02-28
AAD_X,Amadeus FiRe AG (AAD_X),Stock Prices for Amadeus FiRe AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005093108,2020-01-31 22:18:52,2000-02-01,2020-01-31
AB1_X,Air Berlin Plc (AB1_X),Stock Prices for Air Berlin Plc (AB1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: GB00B128C026,2019-06-25 22:37:05,2006-05-11,2019-06-25
ADS_X,Adidas (ADS_X),Stock Prices for Adidas (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1EWWW0,2020-01-31 22:18:52,2000-01-03,2020-01-31
ADV_X,Adva Se (ADV_X),Stock Prices for Adva Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005103006,2020-01-31 22:18:52,2000-03-28,2020-01-31
AFX_X,Carl Zeiss Meditec (AFX_X),Stock Prices for Carl Zeiss Meditec (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005313704,2020-01-31 22:18:52,2000-06-07,2020-01-31
AIR_X,Airbus Group (eads N.v.) (AIR_X),Stock Prices for Airbus Group (eads N.v.) (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: NL0000235190,2020-01-31 22:18:52,2000-07-10,2020-01-31
AIXA_X,Aixtron Se (AIXA_X),Stock Prices for Aixtron Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0WMPJ6,2020-01-31 22:18:52,2000-01-18,2020-01-31
ALV_X,Allianz Se (ALV_X),Stock Prices for Allianz Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008404005,2020-01-31 22:18:52,2000-01-18,2020-01-31
ANN_X,Deutsche Annington Immobilien Se (ANN_X),Stock Prices for Deutsche Annington Immobilien Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1ML7J1,2020-01-31 22:18:52,2013-07-11,2020-01-31
AOX_X,alstria office REIT-AG (AOX_X),Stock Prices for alstria office REIT-AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0LD2U1,2020-01-31 22:18:52,2014-02-26,2020-01-31
ARL_X,Aareal Bank (ARL_X),Stock Prices for Aareal Bank (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005408116,2020-01-31 22:18:52,2002-09-25,2020-01-31
B5A_X,Bauer Aktiengesellschaft (B5A_X),Stock Prices for Bauer Aktiengesellschaft (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005168108,2020-01-31 22:18:52,2006-07-04,2020-01-31
BAF_X,Balda (BAF_X),"Stock Prices for Balda Ag from the Frankfurt Stock Exchange. Trading System: Xetra. Balda is a provider of first-class solutions for demanding, high-quality applications in the fields of medical technology, optics, the automotive industry and other specialist industrial sectors. The Group's operating divisions - Balda Medical and Balda Technical - have operations worldwide, and the company maintains production facilities in Germany and the USA. The success of Balda, which employs more than 900 people, is based on the deployment of leading-edge, cost-effective technologies, coupled with the trust-based collaboration with customers.",2016-04-14 20:21:07,2000-01-18,2016-04-14
BAS_X,Basf Se (BAS_X),Stock Prices for Basf Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000BASF111,2020-01-31 22:18:52,2000-01-18,2020-01-31
BAYN_X,Bayer (BAYN_X),Stock Prices for Bayer (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000BAY0017,2020-01-31 22:18:52,2000-01-18,2020-01-31
BBZA_X,Bb Biotech (BBZA_X),Stock Prices for Bb Biotech (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: CH0038389992,2020-01-31 22:18:52,2000-01-20,2020-01-31
BC8_X,Bechtle (BC8_X),Stock Prices for Bechtle (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005158703,2020-01-31 22:18:52,2000-06-06,2020-01-31
BDT_X,Bertrandt (BDT_X),Stock Prices for Bertrandt (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005232805,2020-01-31 22:18:52,2000-01-03,2020-01-31
BEI_X,Beiersdorf Aktiengesellschaft (BEI_X),Stock Prices for Beiersdorf Aktiengesellschaft (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005200000,2020-01-31 22:18:52,2000-01-18,2020-01-31
BIO3_X,Biotest  Vz (BIO3_X),Stock Prices for Biotest  Vz (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005227235,2020-01-31 22:18:52,2000-01-14,2020-01-31
BMW_X,Bmw St (BMW_X),Stock Prices for Bmw St (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005190003,2020-01-31 22:18:52,2000-01-18,2020-01-31
BNR_X,Brenntag (BNR_X),Stock Prices for Brenntag (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1DAHH0,2020-01-31 22:18:52,2010-03-29,2020-01-31
BOSS_X,Hugo Boss (BOSS_X),Stock Prices for Hugo Boss (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1PHFF7,2020-01-31 22:18:52,2000-01-03,2020-01-31
BYW6_X,Baywa Vna (BYW6_X),Stock Prices for Baywa Vna (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005194062,2020-01-31 22:18:52,2000-11-06,2020-01-31
CBK_X,Commerzbank (CBK_X),Stock Prices for Commerzbank (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000CBK1001,2020-01-31 22:18:52,2000-01-18,2020-01-31
CEV_X,Centrotec Sustainable (CEV_X),Stock Prices for Centrotec Sustainable (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005407506,2020-01-31 22:18:52,2000-01-14,2020-01-31
CLS1_X,Celesio (CLS1_X),Stock Prices for Celesio (CLS1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000CLS1001,2017-04-28 22:28:59,2000-01-18,2017-04-28
